time_identifier,time_period,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,school_type,num_schools,enrolments,sess_possible,sess_overall,sess_authorised,sess_unauthorised,sess_overall_percent,sess_authorised_percent,sess_unauthorised_percent,enrolments_pa10_exact,enrolments_pa10_exact_percent,sess_auth_illness,sess_auth_appointments,sess_auth_religious,sess_auth_study,sess_auth_traveller,sess_auth_holiday,sess_auth_ext_holiday,sess_auth_excluded,sess_auth_other,sess_auth_totalreasons,sess_unauth_holiday,sess_unauth_late,sess_unauth_other,sess_unauth_noyet,sess_unauth_totalreasons,sess_overall_totalreasons
six half terms,201617,local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Pupil Referral Unit,10,1222,259764,84818,48155,36663,32.7,18.5,14.1,892,73,12356,2327,78,1575,111,469,.,5773,25466,48155,529,579,35295,260,36663,84818
six half terms,201617,local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Pupil Referral Unit,2,415,85734,24921,12058,12863,29.1,14.1,15,267,64.3,4110,831,106,30,0,83,.,382,6516,12058,274,5,11253,1331,12863,24921
six half terms,201617,local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Pupil Referral Unit,1,430,98867,38385,22714,15671,38.8,23,15.9,339,78.8,2581,612,0,10,72,5,.,500,18934,22714,324,0,15347,0,15671,38385
six half terms,201617,local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,Pupil Referral Unit,7,1460,105392,34717,19480,15237,32.9,18.5,14.5,1145,78.4,3325,611,15,154,0,12,.,1277,14086,19480,534,1167,13520,16,15237,34717
six half terms,201617,local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Pupil Referral Unit,1,232,46578,12615,10074,2541,27.1,21.6,5.5,154,66.4,2906,432,2,8,0,96,.,45,6585,10074,31,0,2510,0,2541,12615
six half terms,201617,local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Pupil Referral Unit,2,123,22277,7968,5998,1970,35.8,26.9,8.8,91,74,899,124,0,2,0,0,.,313,4660,5998,27,52,1891,0,1970,7968
six half terms,201617,local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Pupil Referral Unit,2,116,25998,4368,1958,2410,16.8,7.5,9.3,60,51.7,782,123,2,0,0,14,.,203,834,1958,2,4,2392,12,2410,4368
six half terms,201617,local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Pupil Referral Unit,2,109,14259,6139,3917,2222,43.1,27.5,15.6,97,89,1420,177,0,171,60,0,.,238,1851,3917,26,70,2096,30,2222,6139
six half terms,201617,local authority,E92000001,England,E12000009,South West,908,E06000052,Cornwall,Pupil Referral Unit,7,520,94339,20207,12004,8203,21.4,12.7,8.7,354,68.1,5132,849,8,34,0,382,.,1801,3798,12004,120,23,8060,0,8203,20207
six half terms,201617,local authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,Pupil Referral Unit,3,303,51638,13676,6770,6906,26.5,13.1,13.4,179,59.1,2599,318,0,5,241,64,.,1248,2295,6770,41,190,6670,5,6906,13676
